 Count  Overhead File                    Line Function
  3327         0 @ChannelFlow/…f/profile_detailed.jl   81 (::var"#direct#run_case##0"{State…
  3327         0 @ChannelFlow/…timesteppers/cnrk2.jl  147 step!
  3341        14 [any unknown stackframes]
  3348         0 @juliasrc/jlapi.c      1139 jl_repl_entrypoint
  3348         0 @juliasrc/jlapi.c       971 true_main
  3348         0 @juliasrc/julia.h      2391 jl_apply
  3348         0 @julialib/julia/sys.dylib    ? jfptr__start_29115.1
  3348         0 @Base/client.jl         550 _start()
  3348         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
  3348         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
  3348         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
  3348         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(Ba…
  3348         0 @Base/boot.jl           489 eval(m::Module, e::Any)
  3348         0 @juliasrc/toplevel.c   1092 ijl_toplevel_eval_in
  3348         0 @juliasrc/toplevel.c   1047 ijl_toplevel_eval
  3348         0 @juliasrc/toplevel.c    975 jl_toplevel_eval_flex
  3348         0 @juliasrc/toplevel.c   1035 jl_toplevel_eval_flex
  3348         0 @juliasrc/interpreter.c  898 jl_interpret_toplevel_thunk
  3348         0 @juliasrc/interpreter.c  689 eval_body
  3348         0 @juliasrc/interpreter.c  194 eval_stmt_value
Total snapshots: 3999. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
